target_names,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11,zone_12,zone_13,zone_14,zone_15,zone_16,left_distance,right_distance,up_distance,down_distance,target
Z,0.0,0.0,0.0,0.0,0.0,25.781,9.277,0.0,0.0,32.617,7.422,0.0,0.0,0.0,0.0,0.0,36,52,34,37,26
Z,0.0,0.0,0.0,0.0,0.0,31.348,28.418,0.0,0.879,46.484,13.574,0.0,0.0,0.0,0.0,0.0,30,44,34,37,26
Z,0.0,7.227,5.957,0.0,0.0,35.645,27.441,0.0,0.0,57.129,10.938,0.0,0.0,0.684,1.562,0.0,32,47,28,30,26
Z,0.0,0.0,0.0,0.0,0.0,24.609,15.137,0.0,0.0,35.645,10.059,0.0,0.0,0.0,0.0,0.0,38,49,40,43,26
Z,0.0,0.0,0.0,0.0,0.0,12.793,20.41,0.0,0.0,22.168,16.211,0.0,0.0,0.0,0.0,0.0,43,40,41,43,26
Z,0.0,0.0,0.0,0.0,5.664,32.812,0.0,0.0,13.672,32.91,18.457,4.102,0.0,0.0,0.0,0.0,19,24,40,43,26
Z,0.0,6.25,10.352,0.0,0.0,29.004,31.641,0.0,0.0,41.309,25.391,0.0,0.0,5.469,4.785,0.0,38,41,26,28,26
Z,0.0,0.0,0.0,0.0,0.488,47.363,5.371,0.0,10.742,39.453,27.148,1.855,0.0,0.0,0.0,0.0,24,29,35,37,26
Z,0.0,0.0,0.0,0.0,0.0,27.734,37.402,0.0,0.0,44.727,11.523,0.0,0.0,0.0,0.0,0.0,32,38,33,35,26
Z,0.0,0.0,0.0,0.0,0.0,30.566,1.953,0.0,0.0,29.688,13.965,0.0,0.0,0.0,0.0,0.0,37,40,42,44,26
Z,0.0,0.0,0.0,0.0,0.0,21.973,17.578,0.0,0.0,27.441,18.75,0.0,0.0,0.0,0.0,0.0,35,38,41,43,26
Z,0.0,0.0,0.0,0.0,0.0,34.375,6.738,0.0,1.27,38.379,21.387,0.0,0.0,0.0,0.0,0.0,30,32,33,35,26
Z,0.0,0.0,0.0,0.0,0.0,18.652,29.883,0.0,0.0,30.176,20.898,0.0,0.0,0.0,0.0,0.0,34,31,38,41,26
Z,0.0,0.0,0.0,0.0,0.0,12.402,15.625,0.0,0.0,0.977,15.137,0.0,0.0,0.0,0.0,0.0,37,38,46,48,26
Z,0.0,0.0,0.0,0.0,0.0,4.98,35.84,0.0,0.0,33.594,21.582,0.0,0.0,0.0,0.0,0.0,36,38,37,40,26
Z,0.0,0.0,0.0,0.0,0.0,11.426,20.02,0.0,0.0,19.238,10.84,0.0,0.0,0.0,0.0,0.0,48,45,43,46,26
Z,0.0,0.0,0.0,0.0,2.246,23.438,16.699,0.0,0.0,28.32,12.695,0.0,0.0,0.0,0.0,0.0,27,35,46,48,26
Z,0.0,0.0,0.0,0.0,0.0,25.391,11.719,0.0,0.0,29.59,11.426,0.0,0.0,0.0,0.0,0.0,39,47,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,19.531,38.086,0.0,0.0,41.895,21.484,0.0,0.0,0.0,0.0,0.0,32,36,33,36,26
Z,0.0,0.0,0.0,0.0,0.0,33.984,15.039,0.0,0.0,26.465,17.578,0.0,0.0,0.0,0.0,0.0,39,40,44,46,26
Z,0.0,0.0,0.0,0.0,0.0,13.867,20.996,0.0,0.0,18.652,12.012,0.0,0.0,0.0,0.0,0.0,39,40,46,49,26
Z,0.0,0.0,0.0,0.0,0.0,28.418,15.723,0.0,5.078,42.285,19.434,0.0,0.0,0.0,0.0,0.0,25,36,33,35,26
Z,0.0,0.0,0.0,0.0,0.0,27.344,6.055,0.0,0.0,29.004,15.625,0.0,0.0,0.0,0.0,0.0,35,41,43,46,26
Z,0.0,0.0,0.0,0.0,0.0,22.852,0.0,0.0,0.488,33.398,0.0,0.0,0.0,0.0,0.0,0.0,31,64,41,44,26
Z,0.0,0.0,0.0,0.0,0.0,14.551,26.562,0.0,0.0,24.805,13.086,0.0,0.0,0.0,0.0,0.0,40,42,38,40,26
Z,0.0,0.0,0.0,0.0,0.0,17.188,4.102,0.0,0.0,18.164,7.52,0.0,0.0,0.0,0.0,0.0,41,47,47,49,26
Z,0.0,0.0,0.0,0.0,0.0,17.578,26.855,0.0,0.0,25.195,11.621,0.0,0.0,0.0,0.0,0.0,41,44,44,47,26
Z,0.0,0.0,0.0,0.0,0.0,30.273,19.824,0.0,0.195,37.695,19.336,0.0,0.0,0.0,0.0,0.0,31,37,40,43,26
Z,0.0,0.0,0.0,0.0,0.0,19.336,16.699,0.0,0.0,28.613,12.695,0.0,0.0,0.0,0.0,0.0,41,46,38,41,26
Z,0.0,0.0,0.0,0.0,0.0,16.504,33.594,0.0,0.0,38.281,13.477,0.0,0.0,0.0,0.0,0.0,34,42,37,40,26
Z,0.0,0.0,0.0,0.0,0.0,25.098,11.035,0.0,0.0,32.812,14.062,0.0,0.0,0.0,0.0,0.0,33,36,38,41,26
Z,0.0,0.0,0.0,0.0,0.0,22.852,14.551,0.0,0.0,23.535,13.281,0.0,0.0,0.0,0.0,0.0,38,42,45,48,26
Z,0.0,0.0,0.0,0.0,0.0,34.961,11.523,0.0,0.0,35.645,12.988,0.0,0.0,0.0,0.0,0.0,37,51,37,39,26
Z,0.0,0.0,0.0,0.0,0.0,20.41,0.0,0.0,0.0,26.172,13.281,0.0,0.0,0.0,0.0,0.0,37,42,42,44,26
Z,0.0,0.0,0.0,0.0,0.0,18.359,16.504,0.0,0.0,23.535,8.691,0.0,0.0,0.0,0.0,0.0,43,51,42,45,26
Z,0.0,0.0,0.0,0.0,0.0,23.73,20.801,0.0,0.0,36.426,13.379,0.0,0.0,0.0,0.0,0.0,33,45,40,42,26
Z,0.0,0.0,0.0,0.0,0.0,20.898,26.465,0.0,1.562,35.059,14.453,0.0,0.0,0.0,0.0,0.0,29,39,42,45,26
Z,0.0,10.84,19.922,0.0,0.0,9.082,35.742,0.0,2.344,49.219,24.512,4.59,6.25,6.641,2.344,0.879,22,25,23,25,26
