target_names,left_distance,right_distance,up_distance,down_distance,target
Z,36,52,34,37,26
Z,30,44,34,37,26
Z,32,47,28,30,26
Z,38,49,40,43,26
Z,43,40,41,43,26
Z,19,24,40,43,26
Z,38,41,26,28,26
Z,24,29,35,37,26
Z,32,38,33,35,26
Z,37,40,42,44,26
Z,35,38,41,43,26
Z,30,32,33,35,26
Z,34,31,38,41,26
Z,37,38,46,48,26
Z,36,38,37,40,26
Z,48,45,43,46,26
Z,27,35,46,48,26
Z,39,47,43,46,26
Z,32,36,33,36,26
Z,39,40,44,46,26
Z,39,40,46,49,26
Z,25,36,33,35,26
Z,35,41,43,46,26
Z,31,64,41,44,26
Z,40,42,38,40,26
Z,41,47,47,49,26
Z,41,44,44,47,26
Z,31,37,40,43,26
Z,41,46,38,41,26
Z,34,42,37,40,26
Z,33,36,38,41,26
Z,38,42,45,48,26
Z,37,51,37,39,26
Z,37,42,42,44,26
Z,43,51,42,45,26
Z,33,45,40,42,26
Z,29,39,42,45,26
Z,22,25,23,25,26
Z,36,38,40,42,26
Z,37,42,44,47,26
Z,30,64,46,48,26
Z,45,48,46,49,26
Z,29,27,38,41,26
Z,37,40,45,48,26
Z,32,38,30,33,26
Z,42,42,46,49,26
Z,27,32,38,41,26
Z,50,42,40,43,26
Z,37,57,42,45,26
Z,38,42,41,43,26
Z,40,37,44,46,26
Z,16,42,35,37,26
Z,23,51,34,36,26
Z,31,36,40,43,26
Z,46,44,44,46,26
Z,48,50,43,46,26
Z,34,42,40,43,26
Z,38,39,36,38,26
Z,24,33,38,40,26
Z,29,36,39,42,26
Z,42,48,41,43,26
Z,23,28,30,33,26
Z,37,42,44,47,26
Z,12,40,29,31,26
Z,32,35,43,46,26
Z,37,47,47,50,26
Z,37,40,38,41,26
Z,43,51,45,47,26
Z,37,43,41,44,26
Z,33,48,34,36,26
Z,27,45,34,36,26
Z,36,41,45,47,26
Z,15,18,42,44,26
Z,42,47,42,45,26
Z,41,45,42,44,26
Z,25,31,37,39,26
Z,39,42,44,46,26
Z,26,40,45,48,26
Z,35,64,40,43,26
Z,41,45,43,46,26
Z,37,39,36,38,26
Z,41,45,37,40,26
Z,42,50,46,49,26
Z,28,37,47,49,26
Z,21,29,38,40,26
Z,32,35,41,44,26
Z,41,49,43,45,26
Z,45,39,36,38,26
Z,41,44,42,44,26
Z,29,38,42,45,26
Z,44,45,45,48,26
Z,40,50,39,42,26
Z,41,45,46,47,26
Z,44,46,46,49,26
Z,33,35,17,20,26
Z,42,48,41,44,26
Z,36,44,37,39,26
Z,35,40,39,42,26
Z,43,45,46,48,26
Z,35,45,38,40,26
Z,18,26,40,43,26
Z,41,40,44,47,26
Z,20,24,38,41,26
Z,44,43,41,44,26
Z,43,37,27,30,26
Z,27,30,31,33,26
Z,31,35,36,38,26
Z,43,48,47,50,26
Z,40,45,43,45,26
Z,23,26,34,37,26
Z,34,38,43,46,26
Z,30,37,38,40,26
Z,37,38,36,38,26
Z,23,39,32,35,26
Z,34,44,44,47,26
Z,44,48,46,48,26
Z,35,37,36,38,26
Z,22,37,43,46,26
Z,38,41,38,41,26
Z,34,37,42,44,26
Z,39,43,43,45,26
Z,41,44,44,46,26
Z,41,48,42,44,26
Z,37,43,39,41,26
Z,38,42,40,42,26
Z,28,39,42,44,26
Z,46,48,42,45,26
Z,32,45,42,44,26
Z,37,43,44,46,26
Z,38,39,35,37,26
Z,33,39,43,46,26
Z,19,26,33,35,26
Z,33,35,40,42,26
Z,41,53,43,46,26
Z,40,46,39,42,26
Z,30,34,26,30,26
Z,27,49,42,45,26
Z,35,36,37,40,26
Z,34,37,41,44,26
Z,38,41,44,47,26
Z,34,39,41,44,26
Z,46,54,52,54,26
Z,34,38,47,49,26
Z,34,37,34,37,26
Z,39,47,40,43,26
Z,31,38,37,39,26
Z,20,21,36,39,26
Z,43,46,34,37,26
Z,29,45,28,31,26
Z,33,39,34,36,26
Z,39,31,47,49,26
Z,0,6,36,38,26
Z,45,49,39,42,26
Z,44,42,44,46,26
Z,25,43,30,33,26
Z,27,31,41,44,26
Z,24,37,35,37,26
Z,41,47,43,46,26
Z,46,51,46,49,26
Z,36,39,42,45,26
Z,35,47,39,41,26
Z,33,39,41,43,26
Z,32,38,40,43,26
Z,28,38,35,38,26
Z,32,34,37,39,26
Z,34,37,45,48,26
Z,38,40,41,44,26
Z,28,34,35,38,26
Z,40,30,34,37,26
Z,29,39,34,37,26
Z,44,43,41,44,26
Z,39,43,46,49,26
Z,43,48,45,48,26
Z,33,38,41,43,26
Z,37,39,40,43,26
Z,14,41,29,31,26
Z,32,39,41,43,26
Z,40,41,34,36,26
Z,11,14,34,36,26
Z,35,43,37,40,26
Z,32,35,39,41,26
Z,24,29,36,39,26
Z,38,40,37,40,26
Z,38,40,41,44,26
Z,28,31,33,35,26
Z,43,37,44,47,26
Z,33,46,44,47,26
Z,38,43,45,48,26
