target_names,zone_1_d,zone_2_d,zone_3_d,zone_4_d,zone_5_d,zone_6_d,zone_7_d,zone_8_d,zone_9_d,zone_10_d,zone_11_d,zone_12_d,zone_13_d,zone_14_d,zone_15_d,zone_16_d,target
K,0.0,0.0,0.0,0.0,0.0,13.574,5.957,0.0,0.0,15.918,8.887,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,17.09,19.434,0.0,0.0,28.516,16.309,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,37.695,17.188,0.0,0.0,28.613,22.656,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,11.133,10.84,0.0,41.016,32.324,0.586,14.941,46.289,0.195,0.0,3.125,4.688,2.832,0.0,11
K,0.0,0.0,0.0,0.0,0.0,33.008,13.184,0.0,0.0,11.133,20.898,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,28.711,13.184,0.0,0.0,33.301,5.176,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,19.141,13.477,0.0,0.0,13.281,10.156,0.0,0.0,0.0,0.0,0.0,11
K,0.0,3.711,2.344,0.0,2.832,54.98,13.672,0.0,8.398,33.594,16.309,0.0,0.391,0.195,1.465,0.0,11
K,0.0,0.0,0.0,0.0,0.0,51.367,31.934,0.0,0.0,25.879,15.527,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,26.465,14.453,0.0,0.0,27.344,14.258,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,20.02,7.227,0.0,0.0,22.949,12.5,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,5.273,0.0,0.0,28.418,34.473,0.0,0.0,60.156,2.051,0.0,1.66,8.203,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,24.316,10.156,0.0,0.0,19.727,6.445,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,21.777,12.402,0.0,0.0,28.418,19.531,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,10.254,39.941,0.0,0.0,23.145,19.629,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,25.293,21.191,0.0,0.0,26.074,20.898,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,42.969,21.68,0.0,0.0,19.336,18.359,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,29.297,20.312,0.0,0.0,41.211,15.82,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,16.992,17.871,0.0,0.0,19.824,16.895,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,21.973,0.0,0.0,0.0,29.102,0.0,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,26.27,10.254,0.0,0.0,23.34,8.301,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,26.27,21.68,0.0,0.0,12.695,16.309,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,19.141,25.488,0.0,0.0,41.016,24.414,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.195,0.0,0.0,19.238,25.293,0.0,0.0,27.246,30.469,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,27.441,36.426,0.0,0.0,34.766,27.93,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,28.223,22.266,0.0,0.0,24.121,16.309,0.0,0.0,0.0,0.0,0.0,11
K,0.0,1.66,1.855,0.0,0.0,31.641,14.258,0.0,0.0,27.051,19.043,0.0,0.0,0.781,1.074,0.0,11
K,0.0,0.0,0.0,0.0,0.0,31.055,23.633,0.0,0.0,21.582,23.438,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,22.754,11.328,0.0,0.0,22.656,8.105,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,23.047,25.391,0.0,0.0,25.684,26.172,0.0,0.0,0.0,0.0,0.0,11
K,0.0,1.367,0.586,3.223,8.789,49.902,24.902,0.293,10.156,40.527,0.0,0.0,0.0,2.734,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,24.512,12.793,0.0,0.0,18.945,6.836,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,24.023,17.383,0.0,0.0,18.457,17.09,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,28.418,15.039,0.0,0.0,29.492,2.246,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,35.742,19.727,0.0,0.0,45.02,17.969,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.195,0.0,0.0,21.68,17.578,0.0,0.0,29.199,13.379,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.293,0.0,0.0,0.0,34.375,20.605,0.977,2.441,36.328,0.0,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,24.414,11.621,0.0,0.0,12.988,11.035,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.586,41.992,50.684,0.0,0.0,62.402,45.996,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,23.34,18.457,0.0,0.0,13.379,15.82,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,27.539,16.895,0.0,0.0,13.867,13.77,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,29.297,26.855,0.0,0.0,26.758,22.07,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,22.266,22.168,0.0,0.0,29.59,4.98,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,25.586,11.621,0.0,0.0,13.77,5.859,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,26.855,16.016,0.0,0.0,28.516,14.551,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,25.0,13.77,0.0,0.0,25.293,13.086,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,21.387,14.844,0.0,0.0,23.926,11.426,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,20.898,23.34,0.0,0.0,25.879,11.719,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,38.379,24.219,0.0,0.0,29.785,16.797,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,24.316,16.406,0.0,0.879,29.199,5.469,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,25.684,25.684,0.0,0.0,17.676,19.531,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,32.52,10.84,0.0,0.0,23.34,19.434,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,20.703,11.328,0.0,0.0,10.254,13.281,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,36.426,6.738,0.0,0.0,33.203,13.965,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,20.312,22.559,0.0,0.0,28.809,17.871,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,12.793,15.723,0.0,0.0,19.629,5.566,0.0,0.0,0.0,0.0,0.0,11
K,0.0,0.0,0.0,0.0,0.0,34.961,15.527,0.0,0.0,25.586,13.477,0.0,0.0,0.0,0.0,0.0,11
